与'法制'最相似的5000个词 (Era1_1978-1996):
法制观念	0.6601
民主法制	0.6477
健全法制	0.6367
依法办事	0.6291
法律意识	0.6234
法律法规	0.6030
有法必依	0.5970
健全	0.5967
依法治国	0.5910
法制宣传	0.5815
法律化	0.5775
依法行政	0.5747
执法必严	0.5727
执法	0.5718
知法	0.5708
学法	0.5645
法律监督	0.5610
政法	0.5604
法律	0.5592
法规	0.5584
法律制度	0.5581
有法不依	0.5577
普法教育	0.5576
懂法	0.5573
法纪	0.5544
执法监督	0.5541
立法	0.5525
严格执法	0.5512
守法	0.5452
违法必究	0.5442
有法可依	0.5441
法律常识	0.5435
制度化	0.5406
执法不严	0.5373
依法治理	0.5312
监督机制	0.5311
法制化	0.5276
政法部门	0.5126
法律手段	0.5124
执法机关	0.5048
精神文明	0.4993
司法	0.4980
法律条文	0.4957
行政诉讼法	0.4929
规范	0.4920
完善	0.4881
以言代法	0.4859
法治	0.4856
法制轨道	0.4842
执法者	0.4821
用法	0.4803
普法	0.4762
合法权益	0.4748
社会主义市场经济	0.4745
违法不究	0.4736
刑事诉讼法	0.4728
遵纪守法	0.4717
安定团结	0.4703
有章可循	0.4686
制度	0.4662
民主专政	0.4661
职业道德	0.4654
廉政	0.4650
规范化	0.4632
贯彻实施	0.4616
规章制度	0.4611
舆论监督	0.4593
宣传教育	0.4587
公民权利	0.4583
加强监督	0.4568
法盲	0.4551
执法人员	0.4544
民主	0.4540
民主权利	0.4537
公安队伍	0.4516
社会秩序	0.4506
社会主义	0.4504
管理	0.4463
保障	0.4444
自律	0.4439
道德教育	0.4429
长治久安	0.4421
政治体制改革	0.4418
市场经济	0.4414
规章	0.4412
管理制度	0.4397
公安	0.4396
纪律	0.4381
法制环境	0.4378
社会治安	0.4374
以权代法	0.4349
建设	0.4320
基层政权	0.4296
检察	0.4294
建立健全	0.4292
政治	0.4292
公民	0.4284
尊严	0.4268
法律依据	0.4255
管理工作	0.4254
司法制度	0.4209
综合治理	0.4206
违法犯罪	0.4180
行政诉讼	0.4172
社会安定	0.4165
教育	0.4163
赔偿法	0.4150
社会风气	0.4131
违法行为	0.4124
行政	0.4122
律师	0.4121
人人平等	0.4119
体制	0.4117
行为规范	0.4109
权益	0.4098
犯法	0.4095
刑法	0.4081
有法	0.4075
严明	0.4068
严厉打击	0.4066
监督管理	0.4063
政法干部	0.4055
法律制裁	0.4052
经济纠纷	0.4037
司法机关	0.4033
惩治	0.4024
监督	0.4022
违法	0.4018
公开审判	0.4011
党风	0.3999
地方性	0.3998
依法办案	0.3988
人治	0.3987
意识	0.3980
宪法	0.3971
道德	0.3961
组织法	0.3958
治税	0.3943
根本大法	0.3939
严格纪律	0.3927
刑事	0.3926
市场主体	0.3924
思想	0.3923
现代化	0.3920
公平竞争	0.3919
文明	0.3895
道德规范	0.3895
经济体制	0.3882
专政	0.3879
约束	0.3877
