word,similarity,功能,过程,领域
人治,0.6173,规范,守法,政治
法制,0.4856,规范,执法,政治
有法必依,0.4816,规范,执法,环保
依法治理,0.4747,规范,执法,社会
执法必严,0.4602,规范,执法,环保
违法必究,0.4508,规范,执法,环保
依法办事,0.4495,规范,守法,政治
依法行政,0.4338,规范,执法,经济
执法,0.4252,规范,执法,环保
严格执法,0.4163,规范,执法,社会
有法可依,0.4144,规范,执法,环保
法制化,0.4122,规范,立法,社会
制度化,0.4073,规范,立法,社会
依法,0.4054,规范,执法,社会
法制轨道,0.4042,规范,执法,环保
有法不依,0.3999,规范,执法,环保
法律化,0.3995,规范,立法,社会
学法,0.3938,规范,守法,政治
健全法制,0.3925,规范,立法,政治
执法不严,0.3889,规范,执法,环保
以言代法,0.3879,合法性,执法,政治
法制观念,0.3864,规范,守法,社会
以权代法,0.3823,合法性,执法,经济
人人平等,0.3817,规范,守法,政治
守法,0.3813,规范,守法,社会
科学管理,0.3799,规范,执法,科技
执法监督,0.3787,规范,执法,环保
森林法,0.378,规范,执法,环保
执法如山,0.3776,秩序,执法,社会
规范化,0.3747,规范,立法,社会
执法机关,0.3725,规范,执法,社会
法规,0.3725,规范,立法,环保
照章办事,0.3724,规范,执法,社会
治县,0.3706,规范,守法,社会
管理,0.3703,规范,执法,经济
治国,0.37,合法性,守法,政治
建立健全,0.3698,规范,执法,社会
管理体系,0.3695,规范,立法,环保
政法部门,0.3685,秩序,执法,社会
规章制度,0.3674,规范,执法,社会
执法者,0.3667,规范,执法,社会
德治,0.3665,秩序,司法,社会
法盲,0.3644,规范,守法,社会
规章,0.3628,规范,立法,环保
法律手段,0.3613,规范,立法,社会
法律法规,0.3593,规范,立法,环保
赏罚,0.355,规范,守法,政治
犯法,0.3548,规范,守法,社会
制度,0.3541,规范,立法,社会
治校,0.3512,规范,守法,社会
立章,0.3512,规范,执法,社会
严格,0.3512,规范,执法,环保
综合治理,0.3505,秩序,执法,社会
知法,0.3502,规范,守法,社会
有法,0.3498,规范,守法,社会
治税,0.3494,规范,执法,政治
依法办案,0.3488,合法性,执法,政治
宣传教育,0.3483,规范,守法,环保
监督机制,0.3465,规范,执法,社会
严明,0.3462,规范,执法,政治
普法教育,0.345,规范,守法,政治
违法不究,0.3439,规范,执法,环保
生产秩序,0.3407,秩序,守法,社会
法纪,0.3399,规范,执法,社会
严格管理,0.3391,规范,执法,政治
法律,0.3377,规范,司法,政治
执法人员,0.3337,规范,执法,环保
法律意识,0.3335,规范,守法,社会
此法,0.3332,合法性,守法,环保
治厂,0.3326,规范,守法,政治
准绳,0.3315,规范,执法,政治
文明,0.3313,规范,守法,社会
从严,0.3307,规范,执法,社会
专政,0.3306,合法性,司法,政治
法律监督,0.3294,规范,执法,政治
管理制度,0.3288,规范,执法,社会
法律制度,0.3282,规范,立法,政治
法律条文,0.3266,规范,守法,社会
社会治安,0.3259,秩序,执法,社会
有章可循,0.3254,规范,执法,环保
治法,0.325,规范,执法,科技
明察,0.3248,规范,守法,政治
依法治国,0.3243,规范,守法,社会
权威,0.3232,规范,执法,政治
渔业法,0.3226,规范,执法,环保
管理机构,0.3211,规范,立法,环保
办法,0.3203,规范,立法,社会
懂法,0.3201,规范,守法,社会
刑事法律,0.3186,规范,执法,社会
知法犯法,0.318,秩序,执法,经济
普法,0.3173,规范,守法,政治
监督管理,0.3171,规范,执法,环保
平平安安,0.3168,秩序,守法,经济
规范,0.3147,规范,执法,社会
屡禁不止,0.3146,秩序,执法,社会
杜绝,0.314,规范,执法,社会
遵纪守法,0.3135,规范,守法,政治
民主法制,0.3124,规范,守法,经济
法治社会,0.3121,规范,守法,社会
讲法,0.312,合法性,守法,政治
铁面无私,0.3089,规范,执法,政治
政法,0.3072,秩序,司法,政治
廉政,0.3052,规范,执法,政治
严格执行,0.305,规范,执法,社会
依法行事,0.3048,规范,守法,社会
司法机关,0.3044,合法性,执法,社会
奖罚分明,0.3041,规范,执法,经济
长治久安,0.304,规范,守法,政治
司法,0.303,合法性,司法,政治
行政,0.3029,规范,司法,经济
水法,0.3029,规范,执法,环保
无法无天,0.3026,规范,守法,政治
法律常识,0.3025,规范,守法,科技
法家,0.3022,合法性,守法,政治
尊严,0.3022,合法性,守法,社会
制衡,0.3008,规范,立法,政治
职能,0.3007,规范,执法,经济
程序,0.3006,规范,立法,环保
监督,0.3005,规范,执法,社会
警民,0.2994,规范,执法,社会
犯法者,0.2994,规范,守法,经济
绳之以法,0.2987,秩序,守法,社会
法则,0.2986,规范,守法,社会
明察秋毫,0.298,合法性,守法,政治
政法干部,0.2964,规范,司法,政治
严格纪律,0.2964,规范,守法,政治
主管部门,0.2961,规范,执法,环保
社会秩序,0.296,秩序,守法,社会
行政诉讼法,0.2951,合法性,执法,社会
法律依据,0.2948,合法性,立法,环保
行政法学,0.2947,规范,立法,科技
森林保护,0.2947,规范,执法,环保
明文规定,0.2941,规范,守法,社会
意识,0.294,规范,守法,社会
体制,0.2939,规范,立法,经济
治村,0.2936,规范,守法,社会
卫生法,0.2934,规范,执法,环保
科学,0.2934,规范,执法,科技
变法,0.2928,规范,守法,社会
法制宣传,0.2919,规范,守法,科技
立法,0.2914,规范,立法,环保
草原法,0.2909,规范,立法,环保
公安队伍,0.2906,规范,执法,政治
责任制,0.2904,规范,执法,经济
仁政,0.2901,合法性,守法,社会
客观规律,0.29,规范,守法,经济
民主,0.2897,合法性,立法,政治
颁布,0.2893,规范,立法,社会
作法,0.2891,合法性,司法,经济
惩处,0.289,秩序,执法,社会
颁布实施,0.2882,规范,立法,社会
逐步完善,0.2874,规范,立法,经济
德育,0.2871,规范,执法,政治
依法处理,0.2871,秩序,执法,社会
环境保护,0.2865,规范,执法,环保
生态平衡,0.2862,秩序,守法,环保
治水,0.286,规范,执法,环保
刑法,0.2851,规范,司法,政治
组织法,0.2844,合法性,司法,经济
公开审判,0.2843,合法性,司法,政治
法律制裁,0.2832,秩序,执法,社会
生态效益,0.281,规范,执法,经济
保障,0.281,规范,立法,社会
认真执行,0.2808,规范,执法,社会
村规民约,0.2807,规范,守法,社会
专治,0.2807,规范,执法,科技
以身试法,0.2806,规范,守法,政治
市场经济,0.2806,规范,守法,经济
治安,0.2804,秩序,执法,社会
单行法,0.2799,规范,立法,政治
治理,0.2793,规范,执法,环保
司法人员,0.2786,合法性,司法,政治
统一规划,0.2774,规范,执法,经济
依靠群众,0.277,规范,执法,社会
道德规范,0.2767,规范,守法,社会
逍遥法外,0.2764,合法性,执法,经济
刑律,0.2761,规范,守法,政治
秩序,0.276,秩序,执法,社会
政府职能,0.2755,规范,执法,经济
子法,0.2753,规范,守法,科技
严厉打击,0.2738,秩序,执法,社会
母法,0.2735,规范,守法,社会
社会风气,0.2733,秩序,守法,社会
规律,0.2732,规范,立法,社会
社会安定,0.2729,秩序,守法,社会
道德教育,0.2721,规范,守法,社会
无法,0.2719,合法性,立法,社会
基层政权,0.2718,规范,司法,政治
种子法,0.2706,规范,执法,环保
法为,0.2702,规范,立法,政治
惩治,0.2696,规范,执法,社会
厂法,0.2688,规范,守法,政治
明确规定,0.2686,规范,立法,社会
法制环境,0.2683,规范,守法,社会
精神文明,0.2683,规范,守法,社会
检察,0.2682,合法性,司法,政治
护林防火,0.268,规范,执法,环保
良法,0.2666,规范,执法,科技
齐抓共管,0.2659,规范,执法,社会
法定程序,0.2643,合法性,执法,社会
民主专政,0.2641,合法性,司法,政治
义务教育法,0.264,规范,执法,环保
违法行为,0.2635,规范,执法,社会
目无法纪,0.2635,规范,执法,社会
自律,0.2631,规范,守法,社会
行政诉讼,0.2625,合法性,司法,政治
制定,0.262,规范,立法,社会
土地管理法,0.2616,规范,执法,环保
违法,0.2615,规范,守法,社会
群众监督,0.2615,规范,执法,社会
以党代政,0.2596,合法性,立法,政治
公安部门,0.2592,秩序,执法,社会
法院,0.2592,合法性,司法,政治
党风,0.2592,规范,执法,政治
民主化,0.2581,合法性,立法,政治
见利忘义,0.2574,规范,守法,社会
整体观念,0.2574,规范,守法,经济
税法,0.257,规范,执法,环保
刑事案件,0.257,秩序,司法,社会
特权思想,0.2565,规范,守法,政治
认真贯彻,0.2565,规范,执法,经济
护林,0.2561,规范,执法,环保
渔法,0.256,秩序,执法,环保
包办,0.2559,规范,守法,社会
党纪国法,0.2543,规范,守法,政治
宗法,0.2541,规范,司法,社会
法人,0.2541,规范,司法,经济
法典,0.254,规范,立法,社会
打架斗殴,0.254,秩序,守法,社会
刑事诉讼法,0.2535,规范,司法,政治
森林资源,0.2535,规范,立法,环保
严加,0.2521,规范,执法,社会
严惩,0.2521,秩序,执法,社会
无产阶级专政,0.2509,合法性,立法,政治
执法检查,0.2508,规范,执法,环保
人民意志,0.2496,合法性,守法,社会
道德,0.2494,规范,守法,社会
专制主义,0.2494,规范,立法,政治
广大群众,0.2488,规范,守法,社会
发扬民主,0.2487,规范,守法,政治
管理工作,0.2484,规范,执法,环保
行使政权,0.2481,合法性,守法,政治
