word,similarity,功能,过程,领域
法制观念,0.6601,规范,守法,社会
民主法制,0.6477,规范,守法,经济
健全法制,0.6367,规范,立法,政治
依法办事,0.6291,规范,守法,政治
法律意识,0.6234,规范,守法,社会
法律法规,0.603,规范,立法,环保
有法必依,0.597,规范,执法,环保
健全,0.5967,规范,执法,社会
依法治国,0.591,规范,守法,社会
法制宣传,0.5815,规范,守法,科技
法律化,0.5775,规范,立法,社会
依法行政,0.5747,规范,执法,经济
执法必严,0.5727,规范,执法,环保
执法,0.5718,规范,执法,环保
知法,0.5708,规范,守法,社会
学法,0.5645,规范,守法,政治
法律监督,0.561,规范,执法,政治
政法,0.5604,秩序,司法,政治
法律,0.5592,规范,司法,政治
法规,0.5584,规范,立法,环保
法律制度,0.5581,规范,立法,政治
有法不依,0.5577,规范,执法,环保
普法教育,0.5576,规范,守法,政治
懂法,0.5573,规范,守法,社会
法纪,0.5544,规范,执法,社会
执法监督,0.5541,规范,执法,环保
立法,0.5525,规范,立法,环保
严格执法,0.5512,规范,执法,社会
守法,0.5452,规范,守法,社会
违法必究,0.5442,规范,执法,环保
有法可依,0.5441,规范,执法,环保
法律常识,0.5435,规范,守法,科技
制度化,0.5406,规范,立法,社会
执法不严,0.5373,规范,执法,环保
依法治理,0.5312,规范,执法,社会
监督机制,0.5311,规范,执法,社会
法制化,0.5276,规范,立法,社会
政法部门,0.5126,秩序,执法,社会
法律手段,0.5124,规范,立法,社会
完备,0.5075,规范,立法,社会
法学,0.5054,规范,司法,社会
执法机关,0.5048,规范,执法,社会
精神文明,0.4993,规范,守法,社会
司法,0.498,合法性,司法,政治
法律条文,0.4957,规范,守法,社会
行政诉讼法,0.4929,合法性,执法,社会
规范,0.492,规范,执法,社会
依法,0.4918,规范,执法,社会
完善,0.4881,规范,立法,经济
以言代法,0.4859,合法性,执法,政治
法治,0.4856,规范,执法,环保
法制轨道,0.4842,规范,执法,环保
逐步完善,0.4828,规范,立法,经济
执法者,0.4821,规范,执法,社会
用法,0.4803,规范,守法,政治
普法,0.4762,规范,守法,政治
合法权益,0.4748,规范,守法,社会
社会主义市场经济,0.4745,规范,立法,社会
违法不究,0.4736,规范,执法,环保
刑事诉讼法,0.4728,规范,司法,政治
遵纪守法,0.4717,规范,守法,政治
以法,0.4703,规范,执法,政治
有章可循,0.4686,规范,执法,环保
制度,0.4662,规范,立法,社会
民主专政,0.4661,合法性,司法,政治
职业道德,0.4654,规范,守法,社会
廉政,0.465,规范,执法,政治
贯彻实施,0.4616,规范,执法,经济
规章制度,0.4611,规范,执法,社会
舆论监督,0.4593,规范,执法,社会
宣传教育,0.4587,规范,守法,环保
公民权利,0.4583,合法性,立法,政治
加强监督,0.4568,规范,执法,社会
法盲,0.4551,规范,守法,社会
执法人员,0.4544,规范,执法,环保
民主,0.454,合法性,立法,政治
民主权利,0.4537,合法性,守法,政治
公安队伍,0.4516,规范,执法,政治
颁布实施,0.4506,规范,立法,社会
社会主义,0.4504,规范,守法,社会
管理,0.4463,规范,执法,经济
强化,0.4462,规范,执法,社会
保障,0.4444,规范,立法,社会
自律,0.4439,规范,守法,社会
道德教育,0.4429,规范,守法,社会
长治久安,0.4421,规范,守法,政治
政治体制改革,0.4418,规范,立法,政治
市场经济,0.4414,规范,守法,经济
规章,0.4412,规范,立法,环保
管理制度,0.4397,规范,执法,社会
公安,0.4396,秩序,司法,环保
纪律,0.4381,规范,守法,政治
法制环境,0.4378,规范,守法,社会
社会治安,0.4374,秩序,执法,社会
以权代法,0.4349,合法性,执法,经济
人大,0.4304,合法性,立法,环保
基层政权,0.4296,规范,司法,政治
检察,0.4294,合法性,司法,政治
建立健全,0.4292,规范,执法,社会
公民,0.4284,合法性,守法,社会
尊严,0.4268,合法性,守法,社会
发扬民主,0.4257,规范,守法,政治
法律依据,0.4255,合法性,立法,环保
司法制度,0.4209,合法性,司法,社会
治教,0.4208,规范,守法,环保
综合治理,0.4206,秩序,执法,社会
行政诉讼,0.4172,合法性,司法,政治
社会安定,0.4165,秩序,守法,社会
教育,0.4163,规范,守法,科技
赔偿法,0.415,规范,执法,环保
社会风气,0.4131,秩序,守法,社会
违法行为,0.4124,规范,执法,社会
行政,0.4122,规范,司法,经济
律师,0.4121,合法性,司法,政治
人人平等,0.4119,规范,守法,政治
体制,0.4117,规范,立法,经济
维护,0.411,秩序,司法,政治
行为规范,0.4109,规范,守法,社会
权益,0.4098,规范,立法,社会
犯法,0.4095,规范,守法,社会
刑法,0.4081,规范,司法,政治
有法,0.4075,规范,守法,社会
严明,0.4068,规范,执法,政治
严厉打击,0.4066,秩序,执法,社会
监督管理,0.4063,规范,执法,环保
政法干部,0.4055,规范,司法,政治
法律制裁,0.4052,秩序,执法,社会
经济纠纷,0.4037,规范,执法,经济
司法机关,0.4033,合法性,执法,社会
惩治,0.4024,规范,执法,社会
监督,0.4022,规范,执法,社会
违法,0.4018,规范,守法,社会
公开审判,0.4011,合法性,司法,政治
党风,0.3999,规范,执法,政治
依法办案,0.3988,合法性,执法,政治
人治,0.3987,规范,守法,政治
意识,0.398,规范,守法,社会
宪法,0.3971,合法性,立法,政治
法学界,0.3963,规范,司法,社会
道德,0.3961,规范,守法,社会
组织法,0.3958,合法性,司法,经济
治税,0.3943,规范,执法,政治
根本大法,0.3939,规范,守法,社会
刑事,0.3926,秩序,司法,政治
市场主体,0.3924,规范,立法,经济
现代化,0.392,规范,立法,经济
公平竞争,0.3919,规范,守法,社会
行为,0.3901,规范,执法,社会
宣传,0.3898,规范,守法,社会
文明,0.3895,规范,守法,社会
社会,0.3894,规范,司法,社会
经济体制,0.3882,规范,立法,经济
专政,0.3879,合法性,司法,政治
约束,0.3877,规范,守法,社会
颁布,0.3869,规范,立法,社会
自我教育,0.3866,规范,守法,政治
