与'法治'最相似的5000个词 (Era1_1978-1996):

依	0.6647
人治	0.6173
以法	0.5376
法制	0.4856
有法必依	0.4816
依法治理	0.4747
执法必严	0.4602
违法必究	0.4508
依法办事	0.4495
用法	0.4417
依法行政	0.4338
执法	0.4252
训	0.4228
刘瀚	0.4209
严格执法	0.4163
有法可依	0.4144
法制化	0.4122
制度化	0.4073
依法	0.4054
法制轨道	0.4042
有法不依	0.3999
法律化	0.3995
学法	0.3938
健全法制	0.3925
治	0.3911
执法不严	0.3889
以言代法	0.3879
纳入	0.3872
法制观念	0.3864
做到	0.3859
以权代法	0.3823
人人平等	0.3817
守法	0.3813
刘军凤	0.3802
科学管理	0.3799
执法监督	0.3787
森林法	0.3780
执法如山	0.3776
规范化	0.3747
完备	0.3730
执法机关	0.3725
法规	0.3725
照章办事	0.3724
王礼明	0.3711
健全	0.3706
治县	0.3706
管理	0.3703
治国	0.3700
建立健全	0.3698
管理体系	0.3695
分开	0.3690
政法部门	0.3685
并不等于	0.3676
规章制度	0.3674
执法者	0.3667
德治	0.3665
张宗厚	0.3650
市和省	0.3646
法盲	0.3644
强化	0.3637
规章	0.3628
按纲	0.3626
兼治	0.3625
法律手段	0.3613
法律法规	0.3593
方法	0.3593
治教	0.3589
并重	0.3579
依据	0.3570
陶希晋	0.3561
重于	0.3559
总之	0.3558
轨道	0.3554
赏罚	0.3550
犯法	0.3548
制度	0.3541
庶民	0.3541
即以	0.3537
按照	0.3535
管仲	0.3531
有章	0.3515
吴木	0.3514
立章	0.3512
治校	0.3512
严格	0.3512
即	0.3507
综合治理	0.3505
可依	0.3504
知法	0.3502
要目	0.3500
有法	0.3498
可见	0.3498
治税	0.3494
单纯	0.3488
依法办案	0.3488
宣传教育	0.3483
要	0.3483
从根本上	0.3477
长官意志	0.3471
监督机制	0.3465
四车	0.3464
严明	0.3462
根本	0.3461
法是	0.3456
真正	0.3453
普法教育	0.3450
以德	0.3449
违法不究	0.3439
而后	0.3433
法	0.3422
化	0.3422
增强	0.3410
生产秩序	0.3407
好人	0.3403
兴林	0.3402
法纪	0.3399
陈守一	0.3393
严格管理	0.3391
龙岩市	0.3387
严肃性	0.3381
法学界	0.3377
法律	0.3377
乱	0.3376
刑不上	0.3374
封来	0.3374
结合	0.3373
而言	0.3370
体系	0.3369
根治	0.3361
整饬	0.3361
林政	0.3357
采育	0.3346
治市	0.3339
执法人员	0.3337
不行	0.3337
法律意识	0.3335
此法	0.3332
治厂	0.3326
陈春龙	0.3325
经常化	0.3322
吏	0.3322
入手	0.3319
各负其责	0.3317
准绳	0.3315
文明	0.3313
完善	0.3308
从严	0.3307
专政	0.3306
龙泉县	0.3306
不能	0.3305
法律监督	0.3294
二者	0.3293
循	0.3290
有惩	0.3289
管理制度	0.3288
逐步	0.3287
法律制度	0.3282
地方性	0.3282
司文	0.3270
法律条文	0.3266
社会治安	0.3259
三岔河	0.3258
为主	0.3255
有章可循	0.3254
治法	0.3250
明察	0.3248
就是说	0.3247
片面	0.3244
依法治国	0.3243
标准	0.3239
可循	0.3234
权威	0.3232
四是	0.3228
渔业法	0.3226
常说	0.3222
机制	0.3221
林是	0.3221
王洪鹤	0.3220
比如	0.3218
这才	0.3217
回事	0.3216
固然	0.3216
绝对	0.3212
管理机构	0.3211
由此可见	0.3206
办法	0.3203
胡鸿烈	0.3203
于济洋	0.3202
懂法	0.3201
可以	0.3197
管林	0.3196
因此	0.3194
刑事法律	0.3186
以为	0.3183
知法犯法	0.3180
是非	0.3178
普法	0.3173
监督管理	0.3171
综合	0.3169
平平安安	0.3168
理	0.3166
做法	0.3165
等等	0.3154
王德祥	0.3147
傅扬	0.3147
规范	0.3147
屡禁不止	0.3146
代替	0.3145
杜绝	0.3140
侧重	0.3139
依靠	0.3137
借鉴	0.3135
遵纪守法	0.3135
道理	0.3134
同时	0.3130
确立	0.3124
民主法制	0.3124
当然	0.3123
毕竟	0.3121
法治社会	0.3121
讲法	0.3120
株洲县	0.3119
轻	0.3119
万沟	0.3118
实际上	0.3112
圣贤	0.3112
私	0.3112
深入人心	0.3112
施训	0.3110
检	0.3110
并不矛盾	0.3107
必须	0.3104
司印居	0.3101
护法	0.3096
赵文甫	0.3094
立	0.3092
建制	0.3091
很难	0.3091
铁面无私	0.3089
制	0.3085
划	0.3080
基础	0.3080
乡规民约	0.3079
不然	0.3079
其实	0.3076
既然	0.3075
精义	0.3074
相悖	0.3073
叫作	0.3073
政法	0.3072
实	0.3071
方针	0.3071
刘屯村	0.3068
郁忠民	0.3067
管	0.3064
出发	0.3063
自觉性	0.3061
刘新	0.3059
万能	0.3057
发案率	0.3057
令行禁止	0.3057
功过	0.3057
民约	0.3057
其一	0.3057
兴渔	0.3053
廉政	0.3052
偷鱼	0.3052
严格执行	0.3050
依法行事	0.3048
统管	0.3045
司法机关	0.3044
单靠	0.3043
奖罚分明	0.3041
从己	0.3040
长治久安	0.3040
还是	0.3039
人怀	0.3037
司法	0.3030
水法	0.3029
树立	0.3029
行政	0.3029
二是	0.3029
无法无天	0.3026
关键在于	0.3025
法律常识	0.3025
随便	0.3023
实行	0.3023
尊严	0.3022
法家	0.3022
