与'法治'最相似的5000个词 (Era2_1997-2013):
法治建设	0.7078
法治社会	0.6793
法制	0.6648
依法治国	0.6571
法治化	0.6528
依法行政	0.6481
法治理念	0.6298
依法办事	0.5970
公平正义	0.5851
法治政府	0.5819
法治国家	0.5785
方略	0.5777
依法治理	0.5679
社会主义法治国家	0.5640
公正司法	0.5475
人治	0.5416
法律意识	0.5399
德治	0.5295
法治思维	0.5262
学法	0.5212
用法	0.5202
知法	0.5181
法制观念	0.5167
民主法制	0.5148
法律制度	0.5117
守法	0.5101
严格执法	0.5057
法制宣传	0.5039
司法权威	0.5004
政治文明	0.4979
有法必依	0.4945
司法公正	0.4944
执法者	0.4913
法制环境	0.4846
司法制度	0.4840
法制化	0.4816
文明执法	0.4766
懂法	0.4714
普法教育	0.4712
公信	0.4702
司法	0.4665
和谐社会	0.4651
普法	0.4614
公正执法	0.4575
执法必严	0.4567
诚信	0.4512
民主	0.4509
遵纪守法	0.4468
健全法制	0.4447
法制轨道	0.4439
公民权利	0.4427
司法改革	0.4426
保障人权	0.4414
公正廉洁	0.4349
社会秩序	0.4345
执法水平	0.4328
违法必究	0.4323
法律手段	0.4316
国家治理	0.4305
执法为民	0.4298
司法公开	0.4297
正义	0.4294
人人平等	0.4289
依法办案	0.4272
依法行事	0.4262
公正	0.4252
有法可依	0.4246
程序正义	0.4228
行政法	0.4217
意识	0.4211
至上	0.4206
制度	0.4203
程序法	0.4180
扶正祛邪	0.4130
他律	0.4129
程序化	0.4113
公信力	0.4105
理性	0.4105
法纪	0.4101
善治	0.4099
执法不严	0.4095
执政为民	0.4091
和谐	0.4084
立法	0.4074
友爱	0.4072
权威	0.4059
行为规范	0.4055
定分止争	0.4053
执法机关	0.4048
司法为民	0.4042
当家作主	0.4042
法律法规	0.4036
公民	0.4030
政法部门	0.4028
有法不依	0.4021
民告官	0.4018
文明	0.4004
观念	0.3994
人权保障	0.3992
行政诉讼法	0.3969
教育引导	0.3967
法律条文	0.3966
公权力	0.3950
制度化	0.3942
社会风气	0.3930
执法监督	0.3927
民主化	0.3926
司法人员	0.3914
尊严	0.3910
道德	0.3899
社会公德	0.3896
责任意识	0.3895
规则	0.3846
治税	0.3843
行政效率	0.3843
法律化	0.3841
自觉遵守	0.3834
公平	0.3827
规范化	0.3825
解决矛盾	0.3823
健全	0.3821
公务人员	0.3816
伦理道德	0.3812
立法法	0.3804
惩戒	0.3800
科学化	0.3797
政府职能	0.3795
司法腐败	0.3790
以言代法	0.3789
公权	0.3783
行为习惯	0.3765
法律监督	0.3761
化解矛盾	0.3757
行政权	0.3739
党的领导	0.3738
监督者	0.3734
人民意志	0.3730
人文环境	0.3728
以民为本	0.3724
不断完善	0.3721
规范性	0.3720
重典	0.3718
规范	0.3704
人权意识	0.3701
廉洁	0.3699
市场经济	0.3698
社会舆论	0.3694
社会主义	0.3692
物质文明	0.3690
失范	0.3689
