word,similarity,功能,过程,领域
法治,0.6648,规范,守法,社会
民主法制,0.6231,秩序,立法,政治
法律,0.5958,规范,立法,社会
法律制度,0.5935,规范,立法,社会
法治建设,0.5668,规范,司法,社会
依法治国,0.5563,规范,守法,政治
法律法规,0.5502,规范,立法,社会
依法行政,0.534,规范,司法,社会
法律意识,0.5291,规范,守法,社会
执法监督,0.5285,规范,执法,环保
法规,0.5285,规范,立法,政治
法制观念,0.5278,规范,守法,社会
法制宣传,0.5212,规范,守法,社会
法制化,0.507,规范,立法,社会
规章,0.506,规范,立法,社会
社会主义法治国家,0.4974,规范,司法,政治
法治社会,0.4928,规范,守法,社会
立法,0.4899,规范,立法,社会
法治化,0.4895,规范,立法,社会
有法可依,0.4878,规范,立法,政治
依法办事,0.4857,规范,守法,社会
法治理念,0.4841,规范,司法,社会
普法教育,0.4838,规范,守法,社会
健全,0.4806,规范,司法,社会
知法,0.4745,规范,守法,社会
制度,0.4738,规范,立法,社会
严格执法,0.4689,规范,执法,社会
有法必依,0.4646,规范,守法,社会
规范性,0.4626,规范,立法,社会
方略,0.4626,规范,守法,政治
法治政府,0.4626,规范,立法,社会
法制轨道,0.4615,规范,立法,社会
法治国家,0.4596,合法性,司法,政治
依法治理,0.4595,规范,守法,社会
执法必严,0.4562,规范,守法,环保
法制环境,0.456,规范,司法,社会
普法,0.4544,合法性,守法,科技
公正司法,0.4529,规范,司法,社会
司法制度,0.4449,规范,司法,社会
学法,0.4432,规范,守法,社会
执法不严,0.4423,规范,执法,社会
法律手段,0.4361,规范,守法,社会
行政法,0.4355,合法性,立法,社会
健全法制,0.4319,规范,守法,社会
法纪,0.4288,规范,守法,政治
违法必究,0.4269,规范,守法,社会
懂法,0.4251,规范,守法,社会
规章制度,0.4246,规范,守法,社会
立法法,0.4241,合法性,立法,经济
宣传教育,0.4238,规范,守法,社会
公平正义,0.4224,秩序,司法,社会
依法,0.4208,规范,守法,社会
法律常识,0.4199,规范,守法,社会
规范化,0.4162,规范,立法,社会
司法,0.4109,合法性,司法,社会
制度化,0.4078,规范,立法,政治
诚信,0.4062,规范,守法,社会
道德教育,0.4046,规范,守法,社会
执法水平,0.4044,规范,执法,社会
贯彻实施,0.4043,规范,立法,社会
法律条文,0.4041,规范,立法,社会
政治文明,0.4024,规范,司法,政治
行为规范,0.402,规范,守法,社会
社会秩序,0.4014,秩序,守法,社会
规范,0.4014,规范,执法,社会
守法,0.4011,规范,守法,社会
有法不依,0.4007,规范,执法,社会
宪法,0.3995,合法性,立法,政治
权威,0.3992,合法性,司法,社会
行政诉讼法,0.3983,合法性,司法,社会
法律化,0.3966,合法性,立法,政治
民法,0.3934,规范,立法,社会
公正执法,0.3933,规范,司法,社会
管理制度,0.3928,规范,执法,社会
体系,0.3926,规范,立法,社会
管理,0.3919,规范,执法,社会
体制,0.3912,规范,立法,社会
执法,0.3899,规范,执法,环保
程序化,0.3899,规范,立法,政治
监督制度,0.3898,规范,司法,社会
司法人员,0.3885,规范,司法,社会
法律依据,0.3885,合法性,立法,社会
惩戒,0.3871,规范,守法,社会
执法者,0.387,规范,执法,社会
公民,0.386,规范,守法,社会
健全制度,0.3859,规范,立法,社会
文明执法,0.3853,规范,执法,社会
建立健全,0.3836,规范,司法,社会
和谐社会,0.3836,规范,守法,社会
保驾护航,0.3827,规范,守法,科技
执法机关,0.3824,合法性,执法,社会
公民权利,0.3824,合法性,司法,社会
合法权益,0.3823,规范,守法,社会
司法部,0.3813,规范,司法,社会
社会公德,0.38,规范,守法,社会
遵纪守法,0.3789,规范,守法,社会
司法公正,0.3786,规范,司法,社会
颁布实施,0.377,规范,立法,社会
依法办案,0.3767,规范,司法,社会
依法行事,0.3762,规范,守法,社会
组织法,0.3761,合法性,立法,经济
法律责任,0.374,规范,执法,社会
公正性,0.3735,合法性,司法,社会
行政,0.3734,规范,司法,社会
法律监督,0.3713,规范,司法,社会
管理体制,0.3705,规范,执法,社会
权威性,0.3701,合法性,司法,国际
规则,0.3699,规范,立法,国际
惩治,0.3694,规范,司法,社会
以德治国,0.3682,,,
伦理道德,0.3676,规范,守法,社会
程序法,0.3676,合法性,立法,社会
教育引导,0.3672,规范,守法,社会
思想道德,0.3667,规范,守法,社会
社会主义市场经济,0.3656,规范,立法,社会
刑法,0.3651,规范,立法,社会
强制性,0.3651,规范,立法,环保
立法机关,0.3638,合法性,立法,社会
公信,0.3629,合法性,司法,社会
管理体系,0.3622,规范,执法,国际
综治办,0.3617,规范,司法,社会
公平竞争,0.3616,规范,守法,社会
廉政建设,0.3615,规范,司法,社会
人大常委会,0.3613,合法性,立法,经济
自律,0.3602,规范,守法,社会
人大,0.3597,合法性,立法,政治
职能作用,0.3596,规范,司法,社会
相适应,0.3596,规范,守法,社会
涉法,0.3596,规范,司法,社会
建章立制,0.3595,规范,执法,社会
法治思维,0.359,规范,守法,社会
颁布,0.3578,规范,立法,社会
依法惩治,0.3569,秩序,司法,社会
加强,0.3565,规范,执法,社会
物权法,0.3563,合法性,立法,社会
科学性,0.3563,合法性,立法,社会
保障人权,0.3563,合法性,司法,社会
维护,0.355,秩序,执法,社会
精神文明,0.355,规范,守法,社会
依法打击,0.3547,秩序,执法,社会
强制,0.3547,规范,执法,环保
司法改革,0.3542,规范,司法,社会
切实加强,0.3541,规范,执法,社会
监督机制,0.3539,规范,执法,社会
公平,0.3533,秩序,守法,社会
职业道德,0.3531,规范,守法,社会
许可法,0.3531,规范,执法,社会
德治,0.3531,规范,守法,社会
监督制约,0.3526,规范,司法,社会
市场监管,0.3519,规范,执法,经济
依法处理,0.3514,合法性,执法,社会
司法权威,0.3509,合法性,司法,社会
社会,0.3509,规范,司法,社会
证券法,0.3505,规范,立法,国际
政法,0.3503,秩序,司法,社会
修订,0.3485,规范,立法,经济
尊严,0.3483,秩序,守法,社会
保障,0.3476,规范,司法,社会
民主,0.3474,合法性,立法,政治
监督管理,0.3465,规范,执法,环保
刑事诉讼法,0.3463,合法性,司法,社会
社会公众,0.345,规范,司法,社会
保护法,0.345,规范,立法,社会
道德规范,0.3441,规范,守法,社会
人权保障,0.3438,合法性,司法,社会
党的领导,0.3438,合法性,司法,政治
违法犯罪,0.3435,秩序,执法,社会
行使职权,0.3418,合法性,司法,政治
加强监督,0.3416,规范,执法,社会
公共安全,0.3411,秩序,司法,社会
制定,0.3408,规范,立法,社会
税法,0.3407,规范,守法,环保
政法部门,0.34,规范,司法,社会
制度性,0.3395,规范,司法,社会
反腐倡廉,0.3392,规范,司法,政治
市场秩序,0.3387,秩序,执法,社会
违法不究,0.3379,规范,执法,社会
执法犯法,0.3376,规范,执法,社会
有法可依,0.3374,规范,立法,政治
起草,0.3373,合法性,立法,社会
有效性,0.3371,合法性,立法,国际
监管,0.3369,规范,执法,环保
政治体制改革,0.3368,规范,立法,政治
切实增强,0.3355,规范,司法,社会
准绳,0.3349,合法性,司法,社会
实效性,0.3348,规范,司法,社会
合同法,0.3342,规范,立法,社会
自觉性,0.3338,规范,守法,社会
行政处罚,0.3338,规范,执法,环保
食品安全,0.3328,规范,执法,环保
自觉遵守,0.3327,规范,守法,社会
惩罚,0.3322,规范,守法,社会
司法机关,0.332,规范,司法,社会
科学化,0.332,规范,立法,社会
核心内容,0.3316,规范,守法,政治
法制日报,0.3313,规范,司法,社会
执法检查,0.3303,规范,执法,环保
管理机制,0.3295,规范,执法,社会
安全法,0.3291,规范,立法,环保
意识,0.329,规范,守法,社会
公信力,0.3283,合法性,司法,社会
法定程序,0.3283,合法性,立法,政治
审判活动,0.3282,合法性,司法,社会
工会法,0.3279,规范,立法,国际
