word,similarity,功能,过程,领域
遵纪守法,0.4468,规范,守法,社会
尊重人权,0.3433,合法性,司法,政治
尊严,0.391,秩序,守法,社会
尊法,0.3922,规范,守法,社会
最高人民检察院,0.2248,规范,司法,政治
最高人民法院,0.25,规范,司法,国际
组织法,0.3344,合法性,立法,经济
综治办,0.2707,规范,司法,社会
综合治理,0.2975,规范,执法,环保
自治,0.265,合法性,司法,政治
自由,0.2914,合法性,守法,社会
自信,0.2333,规范,守法,政治
自然资源,0.2108,秩序,司法,经济
自律,0.3288,规范,守法,社会
自觉遵守,0.3834,规范,守法,社会
资产阶级,0.1491,合法性,守法,政治
资本主义,0.2098,秩序,立法,政治
追究制,0.3454,规范,执法,社会
转型,0.2375,规范,守法,经济
转轨,0.2756,规范,立法,社会
转变观念,0.2931,规范,守法,社会
专制,0.2606,合法性,守法,政治
专业化,0.2099,规范,司法,科技
主权,0.2138,合法性,司法,国际
主管部门,0.147,规范,执法,环保
重大意义,0.2657,合法性,立法,政治
种子法,0.2185,规范,立法,科技
终审权,0.2086,合法性,司法,政治
中央政府,0.0987,合法性,司法,社会
中央,0.1819,规范,司法,社会
中华人民共和国,0.1393,合法性,立法,国际
中华民族,0.247,秩序,立法,政治
中国政府,0.0778,秩序,立法,国际
中国证监会,0.1393,规范,立法,国际
中国共产党,0.1045,合法性,立法,政治
中共中央,0.0478,秩序,立法,政治
中共,0.1188,秩序,司法,经济
秩序,0.3278,秩序,执法,社会
治权,0.3703,合法性,执法,政治
治民,0.3466,规范,守法,政治
治吏,0.2389,规范,守法,社会
治理体系,0.329,秩序,司法,政治
治理能力,0.3096,合法性,司法,社会
治理,0.3132,秩序,立法,环保
治军,0.2946,规范,守法,政治
治国,0.3553,规范,司法,政治
治官,0.2556,规范,守法,社会
治党,0.2447,规范,司法,政治
治安,0.1937,秩序,执法,社会
制止,0.1828,秩序,执法,环保
制约,0.2355,规范,司法,社会
制衡,0.2434,合法性,司法,社会
制度性,0.362,规范,司法,社会
制度化,0.3942,规范,立法,政治
制度,0.4203,规范,立法,社会
制定,0.2573,规范,立法,社会
制订,0.171,规范,立法,科技
制裁,0.109,合法性,执法,政治
止争,0.4053,规范,司法,社会
