word,similarity,功能,过程,领域
法律,0.509,合法性,立法,社会
法治,0.5075,规范,守法,社会
法律法规,0.4931,规范,立法,环保
宪法,0.474,合法性,立法,政治
规章,0.4591,规范,立法,环保
法规,0.4544,规范,立法,政治
合法性,0.4542,合法性,立法,政治
法律制度,0.4532,规范,立法,社会
规范性,0.4488,合法性,立法,政治
法治建设,0.4425,规范,立法,社会
有法可依,0.4291,规范,立法,环保
立法,0.4252,合法性,立法,经济
地方性,0.4252,合法性,立法,社会
行政,0.4226,规范,执法,社会
监督管理,0.4177,规范,执法,科技
执法,0.4083,规范,执法,环保
依法治国,0.4077,规范,守法,政治
法治理念,0.4074,合法性,守法,政治
执法监督,0.4008,规范,执法,环保
全国人大常委会法工委,0.4008,合法性,立法,社会
依法行政,0.3978,规范,守法,社会
政策法规,0.3976,规范,立法,社会
修改,0.3946,规范,立法,社会
制度,0.3901,规范,司法,政治
安全法,0.3894,规范,立法,环保
规范,0.3887,规范,执法,社会
安全监管,0.3869,规范,执法,环保
刑法,0.3853,合法性,司法,社会
监察,0.3841,规范,执法,政治
审查,0.3837,合法性,立法,政治
行政复议,0.3817,合法性,司法,经济
司法制度,0.3801,合法性,司法,政治
严格执法,0.3799,规范,守法,环保
社会主义法治国家,0.3793,合法性,守法,政治
有法必依,0.3777,合法性,守法,社会
起草,0.3749,合法性,立法,国际
文明执法,0.3716,规范,执法,政治
市场监管,0.371,规范,执法,环保
法律意识,0.3699,规范,守法,社会
草案,0.3675,规范,立法,社会
民族事务,0.3663,合法性,守法,社会
法律依据,0.3659,合法性,立法,社会
组织法,0.3658,合法性,立法,经济
监督机制,0.3645,规范,执法,政治
司法局,0.3643,合法性,司法,社会
立法法,0.3638,合法性,立法,经济
法制宣传,0.363,规范,守法,社会
民法典,0.362,规范,立法,社会
司法部,0.3612,规范,司法,社会
常委会,0.3594,合法性,立法,政治
善治,0.3576,规范,立法,社会
规章制度,0.3569,规范,守法,政治
法定程序,0.3567,合法性,立法,政治
法律条文,0.356,合法性,立法,环保
颁布,0.3546,规范,立法,环保
诚信,0.3542,规范,守法,社会
守法,0.3537,规范,守法,社会
决策程序,0.3509,合法性,立法,政治
法律常识,0.3506,合法性,守法,社会
基本法,0.3504,合法性,立法,国际
反垄断,0.3496,规范,执法,经济
程序化,0.3496,规范,立法,政治
涉外,0.3493,规范,司法,国际
宪法学,0.3482,合法性,立法,国际
伦理,0.3482,规范,司法,社会
颁布实施,0.3468,规范,立法,国际
法律化,0.3463,合法性,立法,政治
依法办事,0.3456,合法性,守法,政治
司法,0.3456,规范,司法,社会
管理,0.3446,规范,执法,环保
法律责任,0.3444,规范,执法,社会
全国人大常委会,0.344,规范,立法,国际
制度化,0.3431,规范,立法,政治
保护法,0.3427,规范,立法,环保
法治政府,0.342,规范,守法,经济
机关,0.3419,规范,司法,政治
权威,0.3415,规范,守法,国际
职能作用,0.341,规范,司法,政治
修订,0.3408,规范,立法,社会
实行,0.3406,规范,执法,社会
人民检察院,0.3405,规范,司法,社会
人大,0.3404,合法性,立法,政治
集中统一,0.3396,规范,守法,政治
职能,0.3395,规范,执法,政治
社会主义法治体系,0.3392,合法性,守法,政治
法治思维,0.3391,规范,守法,政治
管理制度,0.3386,规范,执法,环保
司法解释,0.3385,规范,立法,经济
贯彻实施,0.3383,规范,立法,社会
检察,0.3371,规范,司法,社会
四中全会,0.337,规范,立法,社会
健全,0.3368,规范,司法,社会
行为规范,0.3367,规范,守法,社会
建立健全,0.3359,规范,司法,社会
主任,0.3358,规范,司法,经济
规范化,0.3357,规范,执法,政治
保驾护航,0.3357,规范,守法,科技
普法教育,0.3353,合法性,守法,社会
条文,0.3349,规范,立法,社会
司法厅,0.3343,规范,司法,社会
管理条例,0.3336,规范,立法,环保
公正司法,0.333,规范,司法,政治
修正案,0.3328,合法性,立法,社会
监督制度,0.3326,规范,立法,政治
法制化,0.3321,规范,立法,社会
政治体制改革,0.3319,合法性,立法,政治
教育法,0.3315,规范,立法,社会
成文,0.331,合法性,执法,政治
管理机制,0.3309,规范,执法,社会
废止,0.3309,规范,立法,经济
管理工作,0.3308,规范,执法,社会
修法,0.3303,合法性,立法,经济
违法必究,0.3295,合法性,守法,环保
体制改革,0.3292,规范,执法,科技
法治社会,0.3292,合法性,守法,社会
条例,0.3272,规范,立法,社会
执法机关,0.327,合法性,执法,环保
执法必严,0.3265,规范,守法,环保
立法权,0.3265,合法性,立法,经济
职责,0.3264,规范,执法,政治
法典,0.3263,合法性,立法,环保
民法,0.3262,规范,立法,社会
实践经验,0.326,规范,立法,政治
政法委,0.3259,规范,司法,社会
规定,0.3259,规范,立法,政治
法律援助,0.3259,合法性,司法,社会
管理体制,0.3257,规范,执法,科技
宣传教育,0.3256,规范,守法,社会
普法,0.3252,规范,守法,环保
及其,0.324,合法性,司法,社会
法学专业,0.324,合法性,司法,政治
西南政法大学,0.3239,合法性,司法,政治
完善,0.3238,规范,司法,社会
统一,0.3238,规范,执法,政治
行使,0.3228,合法性,执法,政治
知法,0.3227,合法性,守法,社会
副会长,0.3227,规范,守法,经济
合法权益,0.3223,规范,司法,社会
思想道德,0.3221,规范,守法,政治
内容,0.3219,规范,立法,社会
处罚,0.3214,规范,执法,环保
大力加强,0.3198,规范,司法,政治
保证,0.3197,规范,立法,政治
华东政法,0.3196,合法性,司法,科技
